t	x	y	z
1352614469640	1.4165162	8.458236	2.8330324
1352614469653	2.0566726	8.444615	3.0100968
1352614469672	2.6832085	8.471856	3.2688835
1352614469692	2.819412	8.4854765	3.405087
1352614469713	2.6014864	8.362893	3.2007818
1352614469733	2.3971813	8.3765135	2.969236
1352614469754	2.2745981	8.390134	2.8602731
1352614469774	2.192876	8.281172	3.173541
1352614469794	2.2201166	8.144968	3.759216
1352614469815	2.4516625	8.21307	4.1542063
1352614469835	2.9283748	8.322033	4.1542063
1352614469855	3.255263	8.322033	4.30403
1352614469876	2.982856	8.335652	4.6445384
1352614469896	2.6968288	8.253931	4.440233
1352614469916	2.4380422	8.403754	4.2223077
1352614469936	2.73769	8.349273	4.2223077
1352614469957	3.5412905	8.444615	4.7943625
1352614469977	4.1269655	8.322033	5.09401
1352614469997	4.1542063	8.335652	4.658159
1352614470019	3.7864566	8.444615	4.195067
1352614470040	3.7047346	8.21307	4.1269655
1352614470058	3.7864566	8.022385	4.099725
1352614470083	3.9499009	8.322033	3.405087
1352614470104	4.3585114	8.539958	3.405087
1352614470124	4.344891	8.362893	3.4187074
1352614470146	3.9635212	8.253931	3.6911142
1352614470164	3.9771416	8.349273	3.5140498
1352614470185	4.3312707	8.635301	2.4244218
1352614470207	4.6445384	8.894087	1.5390993
1352614470225	4.69902	8.921328	0.9670447
1352614470245	4.6445384	8.717023	1.0215261
1352614470266	4.4538536	8.662541	1.3484144
1352614470286	4.2223077	8.635301	1.3620348
1352614470306	4.385752	8.839605	0.5720546
1352614470326	4.5219555	9.084772	0.5720546
1352614470347	4.385752	8.962189	0.29964766
1352614470369	3.636633	8.7034025	0.87170225
1352614470388	2.9964764	8.458236	1.8659877
1352614470408	3.3097446	8.580819	1.253072
1352614470428	3.5276701	8.853226	-0.5720546
1352614470449	3.3914666	8.962189	-1.0623871
1352614470469	3.0373375	8.567199	-0.2860273
1352614470489	2.2064962	7.8998017	0.6810174
1352614470510	2.5742457	7.504812	-0.35412905
1352614470567	3.214402	8.022385	-6.1700177
1352614470587	3.2280223	7.7227373	-6.3198414
1352614470608	3.0237172	7.409469	-5.284695
1352614470628	2.9964764	7.2187843	-4.807983
1352614470649	2.9964764	7.1234417	-5.7477865
1352614470671	2.9964764	7.014479	-6.4424243
1352614470689	3.3097446	7.137062	-6.074675
1352614470710	3.9090397	7.164303	-5.2302136
1352614470730	4.004382	7.137062	-5.3800373
1352614470751	3.9499009	7.4230895	-5.366417
1352614470771	4.1269655	7.8998017	-4.440233
1352614470790	4.930566	8.512717	-4.031623
1352614470811	5.5571017	9.071152	-4.0861044
1352614470833	5.529861	9.057531	-3.990762
1352614470852	4.385752	8.458236	-2.9147544
1352614470876	2.547005	7.8589406	-1.0896279
1352614470892	1.1168685	7.4911914	0.81722087
1352614470913	0.47671217	7.014479	2.4108016
1352614470934	0.14982383	6.864655	4.0180025
1352614470953	-0.54481393	6.5513873	5.448139
1352614470974	-1.5390993	6.4151835	6.6331096
1352614470996	-2.3290794	6.3334618	7.409469
1352614471014	-2.6423476	6.4832854	8.008764
1352614471035	-2.6968288	6.7284517	8.21307
1352614471056	-2.669588	6.973618	8.471856
1352614471076	-2.4516625	7.1506824	8.730643
1352614471096	-2.0430522	7.3141265	8.7034025
1352614471116	-1.5935807	7.409469	8.117727
1352614471137	-0.8036005	7.3549876	7.1915436
1352614471158	0.44947147	7.3958488	5.47538
1352614471177	1.525479	7.477571	3.5549107
1352614471197	1.9477097	7.3822284	2.6423476
1352614471217	2.192876	6.8782754	1.8387469
1352614471239	2.4108016	6.4424243	0.8308412
1352614471259	2.7921712	5.992953	-1.4437568
1352614471279	3.1463003	5.9248514	-3.7864566
1352614471299	3.636633	5.7477865	-5.448139
1352614471321	3.9362805	5.434519	-6.3198414
1352614471339	3.6774938	4.7262607	-6.510526
1352614471360	3.1054392	3.6774938	-6.701211
1352614471380	2.6423476	3.2280223	-7.5320525
1352614471400	2.819412	2.6968288	-9.329938
1352614471420	3.4731886	2.5606253	-10.296983
1352614471441	4.0861044	2.3563201	-10.269742
1352614471462	4.235928	1.9340894	-9.357179
1352614471484	3.9362805	1.334794	-8.144968
1352614471502	3.4187074	0.5992953	-8.172209
1352614471522	3.4731886	0.06810174	-8.880466
1352614471542	4.031623	-0.21792556	-9.697687
1352614471563	4.5900574	-0.2860273	-9.970095
1352614471583	4.903325	-0.5720546	-9.929234
1352614471603	4.7943625	-0.87170225	-10.038197
1352614471624	4.467474	-1.0623871	-10.092678
